Epoch,Train_Loss,Val_Loss,Learning_Rate
1,3.044001,3.146845,0.000100
2,2.816702,2.988500,0.000100
3,2.755189,2.717994,0.000098
4,2.699539,2.724709,0.000096
5,2.658701,2.562114,0.000094
6,2.340104,2.107675,0.000090
7,2.060781,2.291987,0.000086
8,1.976407,1.973714,0.000082
9,1.928541,1.968309,0.000077
10,1.915548,1.998138,0.000071
11,1.868198,1.920997,0.000065
12,1.844356,1.890269,0.000059
13,1.817871,1.900042,0.000053
14,1.781643,1.919251,0.000047
15,1.773117,1.900856,0.000041
16,1.759199,1.901802,0.000035
17,1.746455,1.858763,0.000029
18,1.731308,1.850607,0.000023
19,1.712912,1.871697,0.000018
20,1.706366,1.840672,0.000014
21,1.684227,1.848868,0.000010
22,1.676687,1.848972,0.000006
23,1.674302,1.846145,0.000004
24,1.667442,1.842855,0.000002
25,1.672377,1.842818,0.000000
