Epoch,Train_Loss,Val_Loss,LR
1,2.942006,2.427157,0.001000
2,2.235298,2.174369,0.000994
3,2.144415,2.097150,0.000976
4,2.051144,2.073576,0.000946
5,1.984452,2.078711,0.000905
6,1.979370,2.147530,0.000854
7,1.913872,2.207715,0.000794
8,1.885912,1.973198,0.000727
9,1.882979,2.031229,0.000655
10,1.802917,1.791246,0.000578
11,1.671754,1.783849,0.000500
12,1.588941,1.664152,0.000422
13,1.513161,1.659643,0.000346
14,1.438418,1.818598,0.000273
15,1.361059,1.652963,0.000206
16,1.367812,1.608102,0.000147
17,1.227642,1.950379,0.000096
18,1.195542,1.602919,0.000055
19,1.190591,1.688230,0.000025
20,1.152240,1.688910,0.000006
