epoch,lr,train_loss,train_iou,train_dice,val_loss,val_iou,val_dice
1,0.001,3.56002,0.405334,0.50212,3.321692,0.412438,0.515073
2,0.001,2.646783,0.531453,0.619284,2.335383,0.539711,0.612837
3,0.001,2.208216,0.580914,0.660966,2.046363,0.599456,0.666298
4,0.001,1.95289,0.605265,0.680677,2.069992,0.686278,0.756269
5,0.001,1.821696,0.662096,0.73428,1.863558,0.648118,0.719522
6,0.001,1.80311,0.647955,0.72236,1.887087,0.676321,0.743569
7,0.001,1.721653,0.670604,0.743213,1.882752,0.587726,0.657328
8,0.001,1.587259,0.716899,0.78294,1.78561,0.684403,0.747177
9,0.001,1.485409,0.751427,0.813052,1.796416,0.718772,0.780135
10,0.001,1.457058,0.768257,0.829143,1.809917,0.719475,0.782379
11,0.001,1.445224,0.775345,0.834783,1.821694,0.630336,0.702221
12,0.001,1.439282,0.764705,0.825059,1.834993,0.68959,0.754927
13,0.001,1.497496,0.73851,0.799685,1.987514,0.610055,0.681471
14,0.001,1.507165,0.719924,0.780817,1.794428,0.715668,0.780055
15,0.001,1.31259,0.821807,0.875324,1.82929,0.733907,0.798349
16,0.001,1.262258,0.796478,0.85145,1.793338,0.731491,0.790883
17,0.001,1.585105,0.701233,0.765107,1.961299,0.581599,0.655941
18,0.001,1.498471,0.710619,0.771096,1.909853,0.652092,0.721543
19,0.001,1.660663,0.688988,0.751683,1.802063,0.660928,0.730006
20,0.001,1.246124,0.797897,0.85117,1.628638,0.743734,0.807626
