Epoch,Train_Loss,Val_Dice,Benign_Dice,Malignant_Dice,LR
1,2.506439,0.304066,0.2484,0.3597,0.001000
2,2.133709,0.370176,0.4001,0.3403,0.000994
3,2.054115,0.258404,0.4678,0.0490,0.000976
4,1.989884,0.429660,0.3801,0.4792,0.000946
5,1.892661,0.399836,0.3834,0.4163,0.000905
6,1.888232,0.437172,0.4944,0.3799,0.000854
7,1.808486,0.394554,0.3379,0.4512,0.000794
8,1.776662,0.416200,0.4106,0.4218,0.000727
9,1.797202,0.454635,0.5254,0.3839,0.000655
10,1.729010,0.469593,0.4903,0.4489,0.000578
11,1.669904,0.505364,0.5053,0.5054,0.000500
12,1.587520,0.472913,0.4598,0.4860,0.000422
13,1.596674,0.440226,0.4373,0.4432,0.000346
14,1.505209,0.489787,0.4660,0.5136,0.000273
15,1.454715,0.459755,0.4104,0.5091,0.000206
16,1.442587,0.476075,0.4692,0.4830,0.000147
17,1.399542,0.513761,0.5272,0.5003,0.000096
18,1.346574,0.500647,0.5007,0.5006,0.000055
19,1.354023,0.513037,0.5311,0.4949,0.000025
20,1.298031,0.497130,0.4976,0.4966,0.000006
