Epoch,Train_Loss,Val_Loss,Train_Mean_Dice,Val_Mean_Dice,Val_Benign_Dice,Val_Malignant_Dice,LR
1,2.532682,2.293286,0.368048,0.303920,0.458058,0.149782,0.000800
2,2.136529,2.120553,0.497018,0.332518,0.244632,0.420405,0.000795
3,2.064550,2.120639,0.491596,0.330119,0.515877,0.144361,0.000780
4,1.962317,1.956813,0.544824,0.403535,0.329471,0.477600,0.000756
5,1.901929,1.890650,0.576798,0.392223,0.389199,0.395247,0.000724
6,1.905032,2.056023,0.576603,0.463533,0.518805,0.408261,0.000683
7,1.843502,1.922872,0.611764,0.343320,0.245282,0.441357,0.000635
8,1.801260,1.987290,0.630709,0.412595,0.502168,0.323022,0.000582
9,1.804805,1.939490,0.622623,0.431507,0.486036,0.376977,0.000524
10,1.759080,1.758533,0.644473,0.423968,0.455840,0.392095,0.000463
11,1.701020,1.786600,0.684029,0.499584,0.525396,0.473772,0.000400
12,1.656839,1.736912,0.700948,0.490144,0.475678,0.504610,0.000337
13,1.661787,1.789636,0.691683,0.494928,0.448109,0.541747,0.000276
14,1.593236,1.842274,0.734124,0.469645,0.405874,0.533417,0.000218
15,1.570077,1.781863,0.740912,0.463936,0.402791,0.525081,0.000165
16,1.526228,1.749038,0.762228,0.478746,0.464675,0.492817,0.000117
17,1.496676,1.764044,0.773001,0.485114,0.472497,0.497731,0.000076
18,1.472103,1.749803,0.777022,0.503191,0.508722,0.497660,0.000044
19,1.459606,1.748131,0.788538,0.499826,0.501847,0.497805,0.000020
20,1.443761,1.751896,0.784526,0.493240,0.489287,0.497193,0.000005
