epoch,lr,train_loss,train_iou,train_dice,val_loss,val_iou,val_dice
1,0.0002,4.455096,0.601832,0.622975,3.905455,0.597451,0.621687
2,0.0001992,3.031446,0.678685,0.70176,3.552261,0.60552,0.629845
3,0.0001969,2.734776,0.703498,0.726177,3.885745,0.609849,0.633077
4,0.000193,2.584234,0.713516,0.735948,3.933335,0.592637,0.615942
5,0.0001876,2.484138,0.718834,0.740973,3.492729,0.620436,0.643531
6,0.0001809,2.331707,0.736084,0.758038,3.634458,0.608133,0.632335
7,0.0001729,2.26487,0.745957,0.767598,3.876239,0.626004,0.649479
8,0.0001638,2.166655,0.749832,0.771473,3.812006,0.636567,0.659205
9,0.0001536,2.092253,0.754807,0.77643,4.428399,0.649323,0.672243
10,0.0001426,2.018632,0.760341,0.781717,4.357858,0.633804,0.65636
11,0.0001309,1.934666,0.767424,0.789114,4.440912,0.640362,0.66371
12,0.0001188,1.912632,0.7714,0.792848,4.609523,0.641393,0.663993
13,0.0001063,1.810571,0.77671,0.797902,4.126071,0.637735,0.660418
14,9.38e-05,1.752407,0.783061,0.80423,4.377519,0.644698,0.667336
15,8.13e-05,1.667677,0.787627,0.808617,4.785799,0.644877,0.667069
16,6.92e-05,1.621111,0.792855,0.81383,4.561481,0.656475,0.678734
17,5.75e-05,1.558767,0.799295,0.820112,4.928363,0.65389,0.676256
18,4.65e-05,1.489285,0.802844,0.823669,4.651111,0.646101,0.668084
19,3.63e-05,1.455515,0.803608,0.824405,4.66276,0.654279,0.676261
20,2.72e-05,1.407361,0.807959,0.828655,5.113761,0.657727,0.679528
21,1.92e-05,1.382503,0.810136,0.830682,4.741202,0.660817,0.682278
22,1.25e-05,1.33747,0.813504,0.834043,5.056367,0.656697,0.67845
23,7.1e-06,1.327341,0.814253,0.834889,4.923079,0.656181,0.678114
24,3.2e-06,1.308487,0.815364,0.835973,5.052123,0.661867,0.683212
25,9e-07,1.290717,0.815824,0.836389,5.220796,0.659663,0.681487
