epoch,lr,train_loss,train_iou,train_dice,val_loss,val_iou,val_dice
1,0.0002,3.428408,0.539957,0.582633,2.115601,0.576186,0.62059
2,0.0001992,1.992939,0.568786,0.61449,1.890006,0.584176,0.628404
3,0.0001969,1.844904,0.581432,0.626721,1.793777,0.595942,0.641731
4,0.000193,1.787227,0.590232,0.635218,1.723664,0.607978,0.652713
5,0.0001876,1.74297,0.595736,0.640726,1.710955,0.603411,0.647301
6,0.0001809,1.703573,0.600089,0.64495,1.688448,0.61246,0.65671
7,0.0001729,1.668364,0.605532,0.650389,1.648547,0.607487,0.653432
8,0.0001638,1.646382,0.60707,0.652161,1.659977,0.611192,0.656507
9,0.0001536,1.613102,0.611288,0.656035,1.687089,0.609808,0.655378
10,0.0001426,1.591791,0.613543,0.658268,1.631161,0.611034,0.655281
11,0.0001309,1.564485,0.617332,0.66213,1.637289,0.610283,0.655613
12,0.0001188,1.541531,0.61895,0.663821,1.666736,0.615402,0.658541
13,0.0001063,1.52091,0.621408,0.66627,1.636114,0.612055,0.657786
14,9.38e-05,1.502679,0.623633,0.668635,1.61958,0.616815,0.661826
15,8.13e-05,1.474104,0.626626,0.671569,1.614304,0.617207,0.662348
16,6.92e-05,1.446376,0.629677,0.674582,1.611688,0.613689,0.658977
17,5.75e-05,1.423022,0.631514,0.67628,1.612019,0.619506,0.664178
18,4.65e-05,1.39913,0.63497,0.679802,1.622357,0.615828,0.660624
19,3.63e-05,1.376728,0.637648,0.68228,1.618703,0.61548,0.660637
20,2.72e-05,1.358831,0.639358,0.684175,1.615952,0.619374,0.66398
21,1.92e-05,1.340687,0.641945,0.686666,1.631816,0.621758,0.666127
22,1.25e-05,1.324656,0.644843,0.689482,1.632267,0.616998,0.661565
23,7.1e-06,1.314134,0.645877,0.69048,1.640145,0.615701,0.660206
24,3.2e-06,1.312562,0.646335,0.690876,1.64159,0.618843,0.663263
25,9e-07,1.310073,0.646823,0.691472,1.638185,0.617907,0.662324
