epoch,lr,train_loss,train_iou,train_dice,val_loss,val_iou,val_dice
1,0.001,3.685742,0.395989,0.490378,3.110584,0.44136,0.538515
2,0.0009938,2.770936,0.526052,0.614189,2.700474,0.47558,0.562654
3,0.0009755,2.275614,0.571253,0.652458,2.238222,0.555877,0.634885
4,0.0009455,2.052407,0.60291,0.677888,2.041831,0.645863,0.713357
5,0.0009045,1.871749,0.650301,0.722035,2.141567,0.575687,0.648624
6,0.0008536,1.742848,0.668207,0.736554,1.910591,0.645149,0.710349
7,0.0007939,1.661339,0.687849,0.75531,1.89344,0.639578,0.705817
8,0.000727,1.538872,0.732978,0.795683,1.832189,0.668294,0.734755
9,0.0006545,1.516204,0.730538,0.79152,1.82042,0.682302,0.748074
10,0.0005783,1.421563,0.762183,0.82147,1.840688,0.682023,0.749765
11,0.0005,1.351811,0.827011,0.881981,1.805716,0.723373,0.788228
12,0.0004218,1.294387,0.825624,0.876065,1.79911,0.699024,0.764554
13,0.0003456,1.238347,0.842982,0.889569,1.782362,0.710631,0.775976
14,0.0002731,1.16877,0.855109,0.897616,1.785822,0.725623,0.790139
15,0.0002062,1.131083,0.867139,0.907479,1.826835,0.712667,0.779551
16,0.0001465,1.080298,0.874733,0.910477,1.834362,0.722176,0.788404
17,9.56e-05,1.032459,0.913744,0.946077,1.839723,0.724013,0.790337
18,5.46e-05,1.017369,0.912531,0.943671,1.859865,0.722245,0.78896
19,2.46e-05,0.996685,0.919471,0.949141,1.868654,0.722705,0.789601
20,6.3e-06,0.980811,0.931729,0.959723,1.864347,0.723288,0.790316
